Cell_ID	UMLS_code
CLPUB00222	"""C0010437"""
CLPUB00222	"""C0014792"""
CLPUB00222	"""C0037262"""
CLPUB00222	"""C0230718"""
CLPUB00222	"""C0230719"""
CLPUB00222	"""C0237504"""
CLPUB00222	"""C0324282"""
CLPUB00222	"""C0324283"""
CLPUB00222	"""C0348086"""
CLPUB00222	"""C0412747"""
CLPUB00222	"""C0424488"""
CLPUB00222	"""C0428415"""
CLPUB00222	"""C0446519"""
CLPUB00222	"""C0446888"""
CLPUB00222	"""C0446890"""
CLPUB00222	"""C0447967"""
CLPUB00222	"""C0448165"""
CLPUB00222	"""C0449197"""
CLPUB00222	"""C0449198"""
CLPUB00222	"""C0449199"""
CLPUB00222	"""C0449200"""
CLPUB00222	"""C0449201"""
CLPUB00222	"""C0449202"""
CLPUB00222	"""C0449203"""
CLPUB00222	"""C0449204"""
CLPUB00222	"""C0449205"""
CLPUB00222	"""C0449206"""
CLPUB00222	"""C0449207"""
CLPUB00222	"""C0449208"""
CLPUB00222	"""C0449209"""
CLPUB00222	"""C0449210"""
CLPUB00222	"""C0449215"""
CLPUB00222	"""C0449216"""
CLPUB00222	"""C0449217"""
CLPUB00222	"""C0450465"""
CLPUB00222	"""C0450466"""
CLPUB00222	"""C0450467"""
CLPUB00222	"""C0450468"""
CLPUB00222	"""C0450469"""
CLPUB00222	"""C0450470"""
CLPUB00222	"""C0450471"""
CLPUB00222	"""C0450472"""
CLPUB00222	"""C0450473"""
CLPUB00222	"""C0450477"""
CLPUB00222	"""C0450478"""
CLPUB00222	"""C0450479"""
CLPUB00222	"""C0450480"""
CLPUB00222	"""C0450481"""
CLPUB00222	"""C0450482"""
CLPUB00222	"""C0450483"""
CLPUB00222	"""C0450484"""
CLPUB00222	"""C0450485"""
CLPUB00222	"""C0450498"""
CLPUB00222	"""C0450499"""
CLPUB00222	"""C0450500"""
CLPUB00222	"""C0450501"""
CLPUB00222	"""C0450502"""
CLPUB00222	"""C0450503"""
CLPUB00222	"""C0450504"""
CLPUB00222	"""C0450505"""
CLPUB00222	"""C0450506"""
CLPUB00222	"""C0450544"""
CLPUB00222	"""C0450545"""
CLPUB00222	"""C0450546"""
CLPUB00222	"""C0450547"""
CLPUB00222	"""C0450548"""
CLPUB00222	"""C0450549"""
CLPUB00222	"""C0450550"""
CLPUB00222	"""C0450551"""
CLPUB00222	"""C0450565"""
CLPUB00222	"""C0450566"""
CLPUB00222	"""C0450567"""
CLPUB00222	"""C0450568"""
CLPUB00222	"""C0450569"""
CLPUB00222	"""C0450570"""
CLPUB00222	"""C0450571"""
CLPUB00222	"""C0450572"""
CLPUB00222	"""C0450573"""
CLPUB00222	"""C0450575"""
CLPUB00222	"""C0450576"""
CLPUB00222	"""C0450577"""
CLPUB00222	"""C0450578"""
CLPUB00222	"""C0450579"""
CLPUB00222	"""C0450580"""
CLPUB00222	"""C0450581"""
CLPUB00222	"""C0450582"""
CLPUB00222	"""C0450583"""
CLPUB00222	"""C0450595"""
CLPUB00222	"""C0450596"""
CLPUB00222	"""C0450597"""
CLPUB00222	"""C0450598"""
CLPUB00222	"""C0450599"""
CLPUB00222	"""C0450600"""
CLPUB00222	"""C0450601"""
CLPUB00222	"""C0450602"""
CLPUB00222	"""C0450603"""
CLPUB00222	"""C0450661"""
CLPUB00222	"""C0450662"""
CLPUB00222	"""C0450663"""
CLPUB00222	"""C0450664"""
CLPUB00222	"""C0450665"""
CLPUB00222	"""C0450666"""
CLPUB00222	"""C0450667"""
CLPUB00222	"""C0450668"""
CLPUB00222	"""C0450669"""
CLPUB00222	"""C0450689"""
CLPUB00222	"""C0450690"""
CLPUB00222	"""C0450691"""
CLPUB00222	"""C0450692"""
CLPUB00222	"""C0450693"""
CLPUB00222	"""C0450694"""
CLPUB00222	"""C0450695"""
CLPUB00222	"""C0450696"""
CLPUB00222	"""C0450697"""
CLPUB00222	"""C0450698"""
CLPUB00222	"""C0450699"""
CLPUB00222	"""C0450700"""
CLPUB00222	"""C0450701"""
CLPUB00222	"""C0450702"""
CLPUB00222	"""C0450703"""
CLPUB00222	"""C0450704"""
CLPUB00222	"""C0450705"""
CLPUB00222	"""C0450706"""
CLPUB00222	"""C0450722"""
CLPUB00222	"""C0450723"""
CLPUB00222	"""C0450724"""
CLPUB00222	"""C0450725"""
CLPUB00222	"""C0450726"""
CLPUB00222	"""C0450727"""
CLPUB00222	"""C0450728"""
CLPUB00222	"""C0450729"""
CLPUB00222	"""C0450730"""
CLPUB00222	"""C0450766"""
CLPUB00222	"""C0450767"""
CLPUB00222	"""C0450768"""
CLPUB00222	"""C0450769"""
CLPUB00222	"""C0450770"""
CLPUB00222	"""C0450771"""
CLPUB00222	"""C0450772"""
CLPUB00222	"""C0450773"""
CLPUB00222	"""C0450774"""
CLPUB00222	"""C0450781"""
CLPUB00222	"""C0450782"""
CLPUB00222	"""C0450783"""
CLPUB00222	"""C0450784"""
CLPUB00222	"""C0450785"""
CLPUB00222	"""C0450786"""
CLPUB00222	"""C0450787"""
CLPUB00222	"""C0450788"""
CLPUB00222	"""C0450789"""
CLPUB00222	"""C0450810"""
CLPUB00222	"""C0450811"""
CLPUB00222	"""C0450812"""
CLPUB00222	"""C0450813"""
CLPUB00222	"""C0450814"""
CLPUB00222	"""C0450815"""
CLPUB00222	"""C0450816"""
CLPUB00222	"""C0450817"""
CLPUB00222	"""C0450818"""
CLPUB00222	"""C0450897"""
CLPUB00222	"""C0555816"""
CLPUB00222	"""C0555839"""
CLPUB00222	"""C0563542"""
CLPUB00222	"""C1271697"""
CLPUB00222	"""C1446064"""
CLPUB00222	"""C1446076"""
CLPUB00222	"""C1536581"""
CLPUB00222	"""C1536591"""
CLPUB00222	"""C1719849"""
CLPUB00220	"""C0036869"""
CLPUB00220	"""C0037119"""
CLPUB00220	"""C0043292"""
CLPUB00220	"""C0043381"""
CLPUB00220	"""C0449721"""
CLPUB00218	"""C0012923"""
CLPUB00218	"""C0035637"""
CLPUB00218	"""C0035691"""
CLPUB00218	"""C0206538"""
CLPUB00218	"""C0318667"""
CLPUB00218	"""C0318746"""
CLPUB00218	"""C0318872"""
CLPUB00218	"""C0319042"""
CLPUB00218	"""C0319066"""
CLPUB00218	"""C0319116"""
CLPUB00218	"""C0319120"""
CLPUB00218	"""C0319121"""
CLPUB00218	"""C0319157"""
CLPUB00218	"""C0319159"""
CLPUB00218	"""C0457385"""
CLPUB00218	"""C0546788"""
CLPUB00218	"""C0563252"""
CLPUB00218	"""C1535437"""
CLPUB00218	"""C1627889"""
CLPUB00218	"""C1827318"""
CLPUB00413	"""C0455825"""
CLPUB00413	"""C0455860"""
CLPUB00413	"""C1261326"""
CLPUB00413	"""C1318310"""
CLPUB00209	"""C1282472"""
CLPUB00210	"""C0007680"""
CLPUB00210	"""C0345903"""
CLPUB00181	"""C0319768"""
CLPUB00181	"""C0452711"""
CLPUB00041	"""C0239803"""
CLPUB00041	"""C0277960"""
CLPUB00041	"""C0440417"""
CLPUB00041	"""C0440418"""
CLPUB00041	"""C1443200"""
CLPUB00041	"""C1446792"""
CLPUB00054	"""C0203408"""
CLPUB00054	"""C0268323"""
CLPUB00054	"""C0412623"""
CLPUB00054	"""C0412696"""
CLPUB00054	"""C0420693"""
CLPUB00054	"""C0427761"""
CLPUB00054	"""C0457243"""
CLPUB00054	"""C0457321"""
CLPUB00054	"""C1546536"""
CLPUB00449	"""C0442737"""
CLPUB00099	"""C0327320"""
CLPUB00099	"""C0327347"""
CLPUB00099	"""C0412674"""
CLPUB00099	"""C0412743"""
CLPUB00099	"""C0561272"""
CLPUB00099	"""C0580680"""
CLPUB00305	"""C0025663"""
CLPUB00305	"""C0276484"""
CLPUB00305	"""C0412621"""
CLPUB00305	"""C0412694"""
CLPUB00305	"""C0449372"""
CLPUB00002	"""C0200898"""
CLPUB00335	"""C0039194"""
CLPUB00335	"""C0301863"""
CLPUB00335	"""C0427682"""
CLPUB00335	"""C0428482"""
CLPUB00335	"""C0443737"""
CLPUB00335	"""C0576927"""
CLPUB00335	"""C1267798"""
CLPUB00335	"""C1267804"""
CLPUB00335	"""C1267805"""
CLPUB00335	"""C1267806"""
CLPUB00343	"""C0036884"""
CLPUB00343	"""C0260397"""
CLPUB00343	"""C0997914"""
CLPUB00058	"""C0013806"""
CLPUB00058	"""C0017563"""
CLPUB00058	"""C0022362"""
CLPUB00058	"""C0027721"""
CLPUB00058	"""C0085209"""
CLPUB00058	"""C0265857"""
CLPUB00058	"""C0272256"""
CLPUB00058	"""C0275698"""
CLPUB00058	"""C0556917"""
CLPUB00073	"""C0559900"""
CLPUB00052	"""C0003343"""
CLPUB00052	"""C0076628"""
CLPUB00052	"""C0124761"""
CLPUB00052	"""C0163660"""
CLPUB00052	"""C0221135"""
CLPUB00052	"""C0302052"""
CLPUB00052	"""C0302053"""
CLPUB00052	"""C0312560"""
CLPUB00052	"""C0312913"""
CLPUB00052	"""C0312963"""
CLPUB00052	"""C0332310"""
CLPUB00052	"""C0368593"""
CLPUB00052	"""C0443798"""
CLPUB00052	"""C0443807"""
CLPUB00052	"""C0443808"""
CLPUB00052	"""C0443809"""
CLPUB00052	"""C0443812"""
CLPUB00052	"""C0443815"""
CLPUB00052	"""C0443817"""
CLPUB00052	"""C0443819"""
CLPUB00052	"""C0443822"""
CLPUB00052	"""C0443824"""
CLPUB00052	"""C0443826"""
CLPUB00052	"""C0443828"""
CLPUB00052	"""C0443829"""
CLPUB00052	"""C0443830"""
CLPUB00052	"""C0443831"""
CLPUB00052	"""C0443832"""
CLPUB00052	"""C0443833"""
CLPUB00052	"""C0443835"""
CLPUB00052	"""C0443836"""
CLPUB00052	"""C0443838"""
CLPUB00052	"""C0443839"""
CLPUB00052	"""C0486689"""
CLPUB00052	"""C0522980"""
CLPUB00052	"""C1292143"""
CLPUB00128	"""C1264190"""
CLPUB00079	"""C0449883"""
CLPUB00079	"""C0449884"""
CLPUB00252	"""C0402659"""
CLPUB00017	"""C0004561"""
CLPUB00356	"""C0017360"""
CLPUB00356	"""C0034677"""
CLPUB00356	"""C0086344"""
CLPUB00356	"""C0314622"""
CLPUB00356	"""C1444140"""
CLPUB00448	"""C0301850"""
CLPUB00448	"""C0312594"""
CLPUB00448	"""C0443671"""
CLPUB00448	"""C0443672"""
CLPUB00448	"""C0443930"""
CLPUB00448	"""C0443935"""
CLPUB00448	"""C0443938"""
CLPUB00448	"""C0445139"""
CLPUB00448	"""C0555104"""
CLPUB00448	"""C0807097"""
CLPUB00448	"""C1318735"""
CLPUB00037	"""C0562486"""
CLPUB00037	"""C0578516"""
CLPUB00037	"""C1882062"""
CLPUB00303	"""C0318632"""
CLPUB00303	"""C0332155"""
CLPUB00326	"""C0002721"""
CLPUB00327	"""C0341059"""
CLPUB00048	"""C0041834"""
CLPUB00048	"""C0151908"""
CLPUB00048	"""C0241126"""
CLPUB00048	"""C0559018"""
CLPUB00048	"""C1626417"""
CLPUB00394	"""C0039185"""
CLPUB00173	"""C0323264"""
CLPUB00173	"""C0412632"""
CLPUB00173	"""C0412700"""
CLPUB00417	"""C0085464"""
CLPUB00417	"""C0445806"""
CLPUB00216	"""C0340084"""
CLPUB00216	"""C0412611"""
CLPUB00216	"""C0412688"""
CLPUB00224	"""C0018042"""
CLPUB00224	"""C0230764"""
CLPUB00224	"""C0452558"""
CLPUB00192	"""C0322804"""
CLPUB00192	"""C0322805"""
CLPUB00192	"""C0322808"""
CLPUB00421	"""C0439231"""
CLPUB00106	"""C0279543"""
CLPUB00178	"""C0322844"""
CLPUB00280	"""C0036525"""
CLPUB00280	"""C0332295"""
CLPUB00280	"""C0428375"""
CLPUB00437	"""C0023005"""
CLPUB00437	"""C0522666"""
CLPUB00274	"""C0017337"""
CLPUB00274	"""C1275749"""
CLPUB00025	"""C0428483"""
CLPUB00025	"""C0428484"""
CLPUB00025	"""C0561311"""
CLPUB00082	"""C0521995"""
CLPUB00082	"""C0521996"""
CLPUB00082	"""C0521997"""
CLPUB00082	"""C0521999"""
CLPUB00082	"""C0522002"""
CLPUB00082	"""C0522003"""
CLPUB00082	"""C3697653"""
CLPUB00074	"""C0079459"""
CLPUB00074	"""C1691007"""
CLPUB00203	"""C0581426"""
CLPUB00203	"""C0584571"""
CLPUB00291	"""C1960255"""
CLPUB00129	"""C0412618"""
CLPUB00129	"""C0412692"""
CLPUB00129	"""C1292721"""
CLPUB00205	"""C1301042"""
CLPUB00340	"""C0009542"""
CLPUB00340	"""C0023509"""
CLPUB00340	"""C0034584"""
CLPUB00340	"""C0200410"""
CLPUB00340	"""C0200423"""
CLPUB00340	"""C0200453"""
CLPUB00340	"""C0201615"""
CLPUB00340	"""C0201616"""
CLPUB00340	"""C0201618"""
CLPUB00425	"""C0201117"""
CLPUB00425	"""C0201135"""
CLPUB00425	"""C0201300"""
CLPUB00425	"""C0201405"""
CLPUB00425	"""C0231630"""
CLPUB00425	"""C0420736"""
CLPUB00425	"""C0474641"""
CLPUB00425	"""C1282999"""
CLPUB00425	"""C1303170"""
CLPUB00439	"""C0266816"""
CLPUB00233	"""C0412585"""
CLPUB00233	"""C0412675"""
CLPUB00235	"""C0334689"""
CLPUB00235	"""C0474806"""
CLPUB00406	"""C0017955"""
CLPUB00024	"""C0391848"""
CLPUB00024	"""C0427645"""
CLPUB00024	"""C0427648"""
CLPUB00024	"""C0427649"""
CLPUB00024	"""C1292165"""
CLPUB00024	"""C1292166"""
CLPUB00024	"""C1292167"""
CLPUB00024	"""C1292168"""
CLPUB00024	"""C1292173"""
CLPUB00024	"""C1292174"""
CLPUB00024	"""C1292175"""
CLPUB00024	"""C1292197"""
CLPUB00024	"""C1292198"""
CLPUB00024	"""C1292199"""
CLPUB00024	"""C1292207"""
CLPUB00024	"""C1292208"""
CLPUB00024	"""C1292209"""
CLPUB00024	"""C1292210"""
CLPUB00024	"""C1292231"""
CLPUB00024	"""C1292232"""
CLPUB00024	"""C1292240"""
CLPUB00024	"""C1320556"""
CLPUB00024	"""C1320557"""
CLPUB00024	"""C1320558"""
CLPUB00024	"""C1320559"""
CLPUB00024	"""C1320560"""
CLPUB00024	"""C1320561"""
CLPUB00024	"""C1320562"""
CLPUB00024	"""C1320563"""
CLPUB00024	"""C1320564"""
CLPUB00024	"""C1320565"""
CLPUB00024	"""C1320566"""
CLPUB00024	"""C1320567"""
CLPUB00024	"""C1320568"""
CLPUB00024	"""C1320569"""
CLPUB00024	"""C1320570"""
CLPUB00024	"""C1320571"""
CLPUB00024	"""C1320572"""
CLPUB00024	"""C1320573"""
CLPUB00024	"""C1320574"""
CLPUB00024	"""C1320575"""
CLPUB00024	"""C1320577"""
CLPUB00024	"""C1320578"""
CLPUB00024	"""C1320579"""
CLPUB00024	"""C1320580"""
CLPUB00024	"""C1320581"""
CLPUB00024	"""C1320582"""
CLPUB00024	"""C1320583"""
CLPUB00024	"""C1320584"""
CLPUB00024	"""C1320585"""
CLPUB00024	"""C1320586"""
CLPUB00024	"""C1320587"""
CLPUB00024	"""C1320588"""
CLPUB00024	"""C1320590"""
CLPUB00024	"""C1320591"""
CLPUB00024	"""C1320592"""
CLPUB00024	"""C1320593"""
CLPUB00024	"""C1320594"""
CLPUB00024	"""C1320595"""
CLPUB00024	"""C1320596"""
CLPUB00024	"""C1320597"""
CLPUB00024	"""C1320598"""
CLPUB00024	"""C1320600"""
CLPUB00024	"""C1320601"""
CLPUB00024	"""C1320602"""
CLPUB00024	"""C1320603"""
CLPUB00024	"""C1320604"""
CLPUB00024	"""C1320605"""
CLPUB00024	"""C1320606"""
CLPUB00024	"""C1320608"""
CLPUB00024	"""C1320609"""
CLPUB00024	"""C1320610"""
CLPUB00362	"""C0205460"""
CLPUB00030	"""C0323355"""
CLPUB00030	"""C0327782"""
CLPUB00177	"""C0439228"""
CLPUB00094	"""C0323179"""
CLPUB00336	"""C0421668"""
CLPUB00336	"""C0426768"""
CLPUB00093	"""C0319324"""
CLPUB00368	"""C0310365"""
CLPUB00368	"""C0310366"""
CLPUB00368	"""C0349374"""
CLPUB00368	"""C0440448"""
CLPUB00368	"""C0452438"""
CLPUB00368	"""C0452440"""
CLPUB00186	"""C0327839"""
CLPUB00186	"""C3662493"""
CLPUB00341	"""C2316401"""
CLPUB00341	"""C2316786"""
CLPUB00341	"""C2316787"""
CLPUB00341	"""C2316810"""
CLPUB00341	"""C2317473"""
CLPUB00176	"""C1269579"""
CLPUB00438	"""C0203121"""
CLPUB00438	"""C0412629"""
CLPUB00438	"""C0442393"""
CLPUB00331	"""C0023270"""
CLPUB00140	"""C1269224"""
CLPUB00140	"""C1296089"""
CLPUB00140	"""C1296105"""
CLPUB00140	"""C1296436"""
CLPUB00140	"""C1296479"""
CLPUB00140	"""C1296494"""
CLPUB00140	"""C1296614"""
CLPUB00140	"""C1296622"""
CLPUB00140	"""C1296636"""
CLPUB00140	"""C1296640"""
CLPUB00140	"""C1296642"""
CLPUB00140	"""C1296644"""
CLPUB00140	"""C1296680"""
CLPUB00140	"""C1296681"""
CLPUB00140	"""C1296689"""
CLPUB00140	"""C1297321"""
CLPUB00140	"""C1321458"""
CLPUB00031	"""C0021658"""
CLPUB00365	"""C0329120"""
CLPUB00036	"""C0440560"""
CLPUB00283	"""C0332315"""
CLPUB00283	"""C0440585"""
CLPUB00193	"""C0428936"""
CLPUB00322	"""C0423121"""
CLPUB00322	"""C0423477"""
CLPUB00322	"""C0424482"""
CLPUB00322	"""C0426522"""
CLPUB00322	"""C0429339"""
CLPUB00322	"""C0429473"""
CLPUB00322	"""C0562338"""
CLPUB00322	"""C0729640"""
CLPUB00232	"""C1257879"""
CLPUB00230	"""C0076280"""
CLPUB00230	"""C0626936"""
CLPUB00359	"""C0457320"""
CLPUB00359	"""C0573984"""
CLPUB00169	"""C0323265"""
CLPUB00169	"""C0323308"""
CLPUB00169	"""C0561296"""
CLPUB00155	"""C0557651"""
CLPUB00155	"""C1304686"""
CLPUB00155	"""C1320457"""
CLPUB00003	"""C0202762"""
CLPUB00003	"""C0412604"""
CLPUB00003	"""C0561271"""
CLPUB00003	"""C0561281"""
CLPUB00003	"""C1277623"""
CLPUB00313	"""C0201248"""
CLPUB00364	"""C0323065"""
CLPUB00364	"""C0585040"""
CLPUB00081	"""C0343072"""
CLPUB00292	"""C0025320"""
CLPUB00292	"""C0036867"""
CLPUB00292	"""C0232326"""
CLPUB00292	"""C0312656"""
CLPUB00292	"""C0312657"""
CLPUB00292	"""C0312658"""
CLPUB00292	"""C0420867"""
CLPUB00292	"""C0446453"""
CLPUB00292	"""C0561276"""
CLPUB00292	"""C0561277"""
CLPUB00292	"""C0581425"""
CLPUB00292	"""C0581435"""
CLPUB00292	"""C0876935"""
CLPUB00292	"""C1281585"""
CLPUB00292	"""C1720508"""
CLPUB00229	"""C0023483"""
CLPUB00229	"""C0349636"""
CLPUB00229	"""C0349637"""
CLPUB00229	"""C1961099"""
CLPUB00126	"""C1546956"""
CLPUB00011	"""C0202688"""
CLPUB00011	"""C0412594"""
CLPUB00011	"""C0561274"""
CLPUB00011	"""C1579547"""
CLPUB00405	"""C0324235"""
CLPUB00366	"""C0278234"""
CLPUB00339	"""C0432636"""
CLPUB00339	"""C0432657"""
CLPUB00114	"""C0238819"""
CLPUB00114	"""C0344104"""
CLPUB00114	"""C0412609"""
CLPUB00114	"""C0455356"""
CLPUB00114	"""C0561298"""
CLPUB00085	"""C0587534"""
CLPUB00385	"""C0412607"""
CLPUB00385	"""C0412686"""
CLPUB00396	"""C0203120"""
CLPUB00396	"""C0412630"""
CLPUB00187	"""C0200927"""
CLPUB00137	"""C0438043"""
CLPUB00311	"""C0412608"""
CLPUB00311	"""C0412687"""
CLPUB00043	"""C0206497"""
CLPUB00043	"""C0328749"""
CLPUB00273	"""C1292723"""
CLPUB00160	"""C0234566"""
CLPUB00095	"""C1541058"""
CLPUB00226	"""C0215619"""
CLPUB00253	"""C0561293"""
CLPUB00253	"""C1656864"""
CLPUB00012	"""C0040077"""
CLPUB00012	"""C0040078"""
CLPUB00012	"""C1268554"""
CLPUB00215	"""C1541709"""
CLPUB00215	"""C1947935"""
CLPUB00308	"""C0223074"""
CLPUB00435	"""C0020796"""
CLPUB00435	"""C0557351"""
CLPUB00435	"""C0578795"""
CLPUB00435	"""C1864923"""
CLPUB00225	"""C1284837"""
CLPUB00293	"""C0423137"""
CLPUB00346	"""C0332314"""
CLPUB00346	"""C0566253"""
CLPUB00346	"""C1319010"""
CLPUB00443	"""C0077275"""
CLPUB00403	"""C0449606"""
CLPUB00422	"""C0206423"""
CLPUB00422	"""C1265469"""
CLPUB00389	"""C0456358"""
CLPUB00376	"""C0392912"""
CLPUB00376	"""C0430923"""
CLPUB00376	"""C0578017"""
CLPUB00388	"""C0013455"""
CLPUB00388	"""C0444598"""
CLPUB00388	"""C1268972"""
CLPUB00426	"""C0440426"""
CLPUB00426	"""C0440433"""
CLPUB00426	"""C0440434"""
CLPUB00426	"""C0440435"""
CLPUB00426	"""C0440439"""
CLPUB00415	"""C0032589"""
CLPUB00262	"""C0452835"""
CLPUB00391	"""C0004886"""
CLPUB00391	"""C0065828"""
CLPUB00391	"""C3698577"""
CLPUB00387	"""C0444185"""
CLPUB00387	"""C1292722"""
CLPUB00428	"""C0206446"""
CLPUB00428	"""C2585482"""
CLPUB00116	"""C1997422"""
CLPUB00306	"""C0205470"""
CLPUB00113	"""C0346809"""
CLPUB00113	"""C0558356"""
CLPUB00113	"""C2204475"""
CLPUB00103	"""C0016163"""
CLPUB00103	"""C0453076"""
CLPUB00103	"""C0453078"""
CLPUB00022	"""C0036499"""
CLPUB00022	"""C0337023"""
CLPUB00022	"""C2919405"""
CLPUB00124	"""C0327981"""
CLPUB00202	"""C0201930"""
CLPUB00076	"""C0427631"""
CLPUB00076	"""C1267821"""
CLPUB00076	"""C1267833"""
CLPUB00076	"""C1267834"""
CLPUB00076	"""C1267841"""
CLPUB00076	"""C1267843"""
CLPUB00076	"""C1267846"""
CLPUB00076	"""C1267849"""
CLPUB00076	"""C1267853"""
CLPUB00442	"""C0028429"""
CLPUB00442	"""C0085349"""
CLPUB00442	"""C0301973"""
CLPUB00442	"""C0302291"""
CLPUB00442	"""C0312655"""
CLPUB00442	"""C0446625"""
CLPUB00442	"""C1278896"""
CLPUB00442	"""C1321760"""
CLPUB00278	"""C0327853"""
CLPUB00278	"""C0443969"""
CLPUB00328	"""C1301808"""
